logloss,AUC,batch_norm,batch_size,dataset_id,debug_mode,early_stop_patience,embedding_dim,embedding_regularizer,epochs,eval_steps,exp_add1_before_log,exp_additional_mask,exp_bias_on_final,exp_norm_before_log,exp_positive_activation,feature_config,feature_specs,group_id,layer_norm,learning_rate,loss,metrics,model,model_root,monitor,monitor_mode,net_dropout,net_regularizer,num_heads,num_mask_blocks,num_mask_heads,num_workers,optimizer,output_log,pickle_feature_encoder,save_best_only,seed,shuffle,task,use_features,verbose
0.006046,0.548131,True,4096,iPinYou_x1_csv_c2b11acf,False,2,16,0.001,100,,True,True,False,False,False,,,,True,0.001,binary_crossentropy,"['logloss', 'AUC']",LogCNv5,./checkpoints/,"{'AUC': 1, 'logloss': 0}",max,0,0,1,3,3,16,adam,False,True,True,2024,True,binary_classification,,1
0.618641,0.776728,False,4096,iPinYou_x1_csv_c2b11acf,False,2,16,0.001,100,,True,True,False,False,False,,,,True,0.001,binary_crossentropy,"['logloss', 'AUC']",LogCNv5,./checkpoints/,"{'AUC': 1, 'logloss': 0}",max,0,0,1,3,3,16,adam,True,True,True,2024,True,binary_classification,,1
0.005605,0.77024,False,4096,iPinYou_x1_csv_c2b11acf,False,2,16,0.001,100,,True,True,False,False,False,,,,True,0.001,binary_crossentropy,"['logloss', 'AUC']",LogCNv5,./checkpoints/,"{'AUC': 1, 'logloss': 0}",max,0,0,1,3,3,16,adam,False,True,True,2024,True,binary_classification,,1
0.005597,0.772265,True,4096,iPinYou_x1_csv_c2b11acf,False,2,16,0.001,100,,True,True,False,False,False,,,,False,0.001,binary_crossentropy,"['logloss', 'AUC']",LogCNv5,./checkpoints/,"{'AUC': 1, 'logloss': 0}",max,0,0,1,1,3,16,adam,False,True,True,2024,True,binary_classification,,1
0.005561,0.777979,False,4096,iPinYou_x1_csv_c2b11acf,False,2,16,0.001,100,,True,True,False,False,False,,,,True,0.001,binary_crossentropy,"['logloss', 'AUC']",LogCNv5,./checkpoints/,"{'AUC': 1, 'logloss': 0}",max,0,0,1,2,2,16,adam,True,True,True,2024,True,binary_classification,,1
0.005561,0.777979,False,4096,iPinYou_x1_csv_c2b11acf,False,2,16,0.001,100,,True,True,False,False,False,,,,True,0.001,binary_crossentropy,"['logloss', 'AUC']",LogCNv5,./checkpoints/,"{'AUC': 1, 'logloss': 0}",max,0,0,1,2,2,16,adam,False,True,True,2024,True,binary_classification,,1
0.006063,0.768902,True,4096,iPinYou_x1_csv_c2b11acf,False,2,16,0.001,100,,True,True,False,False,False,,,,True,0.001,binary_crossentropy,"['logloss', 'AUC']",LogCNv5,./checkpoints/,"{'AUC': 1, 'logloss': 0}",max,0,0,1,1,3,16,adam,True,True,True,2024,True,binary_classification,,1
0.005568,0.777508,True,4096,iPinYou_x1_csv_c2b11acf,False,2,16,0.001,100,,True,True,False,False,False,,,,False,0.001,binary_crossentropy,"['logloss', 'AUC']",LogCNv5,./checkpoints/,"{'AUC': 1, 'logloss': 0}",max,0,0,1,3,2,16,adam,True,True,True,2024,True,binary_classification,,1
0.005684,0.774766,True,4096,iPinYou_x1_csv_c2b11acf,False,2,16,0.001,100,,True,True,False,False,False,,,,False,0.001,binary_crossentropy,"['logloss', 'AUC']",LogCNv5,./checkpoints/,"{'AUC': 1, 'logloss': 0}",max,0,0,1,1,2,16,adam,True,True,True,2024,True,binary_classification,,1
0.005616,0.767803,False,4096,iPinYou_x1_csv_c2b11acf,False,2,16,0.001,100,,True,True,False,False,False,,,,False,0.001,binary_crossentropy,"['logloss', 'AUC']",LogCNv5,./checkpoints/,"{'AUC': 1, 'logloss': 0}",max,0,0,1,2,3,16,adam,True,True,True,2024,True,binary_classification,,1
0.005636,0.779965,True,4096,iPinYou_x1_csv_c2b11acf,False,2,16,0.001,100,,True,True,False,False,False,,,,True,0.001,binary_crossentropy,"['logloss', 'AUC']",LogCNv5,./checkpoints/,"{'AUC': 1, 'logloss': 0}",max,0,0,1,3,3,16,adam,True,True,True,2024,True,binary_classification,,1
0.006036,0.56567,False,4096,iPinYou_x1_csv_c2b11acf,False,2,16,0.001,100,,True,True,False,False,False,,,,True,0.001,binary_crossentropy,"['logloss', 'AUC']",LogCNv5,./checkpoints/,"{'AUC': 1, 'logloss': 0}",max,0,0,1,3,2,16,adam,False,True,True,2024,True,binary_classification,,1
0.00556,0.776536,True,4096,iPinYou_x1_csv_c2b11acf,False,2,16,0.001,100,,True,True,False,False,False,,,,False,0.001,binary_crossentropy,"['logloss', 'AUC']",LogCNv5,./checkpoints/,"{'AUC': 1, 'logloss': 0}",max,0,0,1,2,2,16,adam,True,True,True,2024,True,binary_classification,,1
0.005578,0.775479,False,4096,iPinYou_x1_csv_c2b11acf,False,2,16,0.001,100,,True,True,False,False,False,,,,False,0.001,binary_crossentropy,"['logloss', 'AUC']",LogCNv5,./checkpoints/,"{'AUC': 1, 'logloss': 0}",max,0,0,1,1,3,16,adam,True,True,True,2024,True,binary_classification,,1
0.00555,0.778769,True,4096,iPinYou_x1_csv_c2b11acf,False,2,16,0.001,100,,True,True,False,False,False,,,,True,0.001,binary_crossentropy,"['logloss', 'AUC']",LogCNv5,./checkpoints/,"{'AUC': 1, 'logloss': 0}",max,0,0,1,2,2,16,adam,False,True,True,2024,True,binary_classification,,1
0.005559,0.776608,False,4096,iPinYou_x1_csv_c2b11acf,False,2,16,0.001,100,,True,True,False,False,False,,,,True,0.001,binary_crossentropy,"['logloss', 'AUC']",LogCNv5,./checkpoints/,"{'AUC': 1, 'logloss': 0}",max,0,0,1,1,1,16,adam,True,True,True,2024,True,binary_classification,,1
0.006036,0.56567,False,4096,iPinYou_x1_csv_c2b11acf,False,2,16,0.001,100,,True,True,False,False,False,,,,True,0.001,binary_crossentropy,"['logloss', 'AUC']",LogCNv5,./checkpoints/,"{'AUC': 1, 'logloss': 0}",max,0,0,1,3,2,16,adam,True,True,True,2024,True,binary_classification,,1
0.005605,0.77024,False,4096,iPinYou_x1_csv_c2b11acf,False,2,16,0.001,100,,True,True,False,False,False,,,,False,0.001,binary_crossentropy,"['logloss', 'AUC']",LogCNv5,./checkpoints/,"{'AUC': 1, 'logloss': 0}",max,0,0,1,3,3,16,adam,True,True,True,2024,True,binary_classification,,1
0.005592,0.773575,False,4096,iPinYou_x1_csv_c2b11acf,False,2,16,0.001,100,,True,True,False,False,False,,,,False,0.001,binary_crossentropy,"['logloss', 'AUC']",LogCNv5,./checkpoints/,"{'AUC': 1, 'logloss': 0}",max,0,0,1,2,2,16,adam,True,True,True,2024,True,binary_classification,,1
0.005556,0.778239,False,4096,iPinYou_x1_csv_c2b11acf,False,2,16,0.001,100,,True,True,False,False,False,,,,True,0.001,binary_crossentropy,"['logloss', 'AUC']",LogCNv5,./checkpoints/,"{'AUC': 1, 'logloss': 0}",max,0,0,1,1,2,16,adam,True,True,True,2024,True,binary_classification,,1
0.005638,0.774827,True,4096,iPinYou_x1_csv_c2b11acf,False,2,16,0.001,100,,True,True,False,False,False,,,,True,0.001,binary_crossentropy,"['logloss', 'AUC']",LogCNv5,./checkpoints/,"{'AUC': 1, 'logloss': 0}",max,0,0,1,2,3,16,adam,True,True,True,2024,True,binary_classification,,1
0.005599,0.772123,False,4096,iPinYou_x1_csv_c2b11acf,False,2,16,0.001,100,,True,True,False,False,False,,,,False,0.001,binary_crossentropy,"['logloss', 'AUC']",LogCNv5,./checkpoints/,"{'AUC': 1, 'logloss': 0}",max,0,0,1,2,1,16,adam,True,True,True,2024,True,binary_classification,,1
0.005561,0.778238,True,4096,iPinYou_x1_csv_c2b11acf,False,2,16,0.001,100,,True,True,False,False,False,,,,True,0.001,binary_crossentropy,"['logloss', 'AUC']",LogCNv5,./checkpoints/,"{'AUC': 1, 'logloss': 0}",max,0,0,1,3,1,16,adam,True,True,True,2024,True,binary_classification,,1
0.005592,0.773575,False,4096,iPinYou_x1_csv_c2b11acf,False,2,16,0.001,100,,True,True,False,False,False,,,,False,0.001,binary_crossentropy,"['logloss', 'AUC']",LogCNv5,./checkpoints/,"{'AUC': 1, 'logloss': 0}",max,0,0,1,2,2,16,adam,False,True,True,2024,True,binary_classification,,1
0.005571,0.777877,False,4096,iPinYou_x1_csv_c2b11acf,False,2,16,0.001,100,,True,True,False,False,False,,,,True,0.001,binary_crossentropy,"['logloss', 'AUC']",LogCNv5,./checkpoints/,"{'AUC': 1, 'logloss': 0}",max,0,0,1,2,1,16,adam,False,True,True,2024,True,binary_classification,,1
0.005596,0.769853,False,4096,iPinYou_x1_csv_c2b11acf,False,2,16,0.001,100,,True,True,False,False,False,,,,False,0.001,binary_crossentropy,"['logloss', 'AUC']",LogCNv5,./checkpoints/,"{'AUC': 1, 'logloss': 0}",max,0,0,1,3,2,16,adam,False,True,True,2024,True,binary_classification,,1
0.005579,0.778717,True,4096,iPinYou_x1_csv_c2b11acf,False,2,16,0.001,100,,True,True,False,False,False,,,,False,0.001,binary_crossentropy,"['logloss', 'AUC']",LogCNv5,./checkpoints/,"{'AUC': 1, 'logloss': 0}",max,0,0,1,2,3,16,adam,False,True,True,2024,True,binary_classification,,1
0.005589,0.772259,False,4096,iPinYou_x1_csv_c2b11acf,False,2,16,0.001,100,,True,True,False,False,False,,,,False,0.001,binary_crossentropy,"['logloss', 'AUC']",LogCNv5,./checkpoints/,"{'AUC': 1, 'logloss': 0}",max,0,0,1,1,2,16,adam,False,True,True,2024,True,binary_classification,,1
0.005638,0.774827,True,4096,iPinYou_x1_csv_c2b11acf,False,2,16,0.001,100,,True,True,False,False,False,,,,True,0.001,binary_crossentropy,"['logloss', 'AUC']",LogCNv5,./checkpoints/,"{'AUC': 1, 'logloss': 0}",max,0,0,1,2,3,16,adam,False,True,True,2024,True,binary_classification,,1
0.005616,0.767803,False,4096,iPinYou_x1_csv_c2b11acf,False,2,16,0.001,100,,True,True,False,False,False,,,,False,0.001,binary_crossentropy,"['logloss', 'AUC']",LogCNv5,./checkpoints/,"{'AUC': 1, 'logloss': 0}",max,0,0,1,2,3,16,adam,False,True,True,2024,True,binary_classification,,1
0.00558,0.777615,True,4096,iPinYou_x1_csv_c2b11acf,False,2,16,0.001,100,,True,True,False,False,False,,,,True,0.001,binary_crossentropy,"['logloss', 'AUC']",LogCNv5,./checkpoints/,"{'AUC': 1, 'logloss': 0}",max,0,0,1,3,2,16,adam,False,True,True,2024,True,binary_classification,,1
0.005561,0.777471,True,4096,iPinYou_x1_csv_c2b11acf,False,2,16,0.001,100,,True,True,False,False,False,,,,True,0.001,binary_crossentropy,"['logloss', 'AUC']",LogCNv5,./checkpoints/,"{'AUC': 1, 'logloss': 0}",max,0,0,1,2,1,16,adam,False,True,True,2024,True,binary_classification,,1
0.005605,0.77024,False,4096,iPinYou_x1_csv_c2b11acf,False,2,16,0.001,100,,True,True,False,False,False,,,,False,0.001,binary_crossentropy,"['logloss', 'AUC']",LogCNv5,./checkpoints/,"{'AUC': 1, 'logloss': 0}",max,0,0,1,3,3,16,adam,False,True,True,2024,True,binary_classification,,1
0.006074,0.77228,True,4096,iPinYou_x1_csv_c2b11acf,False,2,16,0.001,100,,True,True,False,False,False,,,,True,0.001,binary_crossentropy,"['logloss', 'AUC']",LogCNv5,./checkpoints/,"{'AUC': 1, 'logloss': 0}",max,0,0,1,1,2,16,adam,True,True,True,2024,True,binary_classification,,1
0.006063,0.768902,True,4096,iPinYou_x1_csv_c2b11acf,False,2,16,0.001,100,,True,True,False,False,False,,,,True,0.001,binary_crossentropy,"['logloss', 'AUC']",LogCNv5,./checkpoints/,"{'AUC': 1, 'logloss': 0}",max,0,0,1,1,3,16,adam,False,True,True,2024,True,binary_classification,,1
